fips,county,state,state_code,male,female,median_age,population,female_percentage,lat,long,life_expectancy,mortality_risk,all_poverty,median_hh_income,sq_miles,pct_impoverished,pop_density
1061,Geneva County,Alabama,AL,12971,13520,42.4,26491,51.03620097391567,31.09505484802003,-85.83909144612956,75.54368311,57.94025645,5495.0,36976.0,574.41,0.2074289381299309,46.11862606848767
1091,Marengo County,Alabama,AL,9446,10092,42.7,19538,51.65318865799979,32.247665493391004,-87.78953082031431,74.68026646,57.97444536,5003.0,34794.0,976.88,0.25606510390009213,20.00040946687413
1097,Mobile County,Alabama,AL,197928,216731,37.6,414659,52.26728468452391,30.78721220095308,-88.20579885923952,75.12711493,57.60677187,79364.0,45233.0,1229.44,0.1913958216269272,337.27469416970325
1121,Talladega County,Alabama,AL,39156,41409,41.1,80565,51.398249860361204,33.38007938419927,-86.16588537343469,74.28689529,61.02609038,13864.0,40555.0,736.78,0.17208465214423135,109.34743071201716
1123,Tallapoosa County,Alabama,AL,19517,21119,43.7,40636,51.97115857860025,32.862350624195244,-85.79750899281659,75.01084601,58.58536687,8111.0,40169.0,716.52,0.19960133871444039,56.713001730586726
1125,Tuscaloosa County,Alabama,AL,99539,106674,32.7,206213,51.730007322525736,33.289569418404746,-87.52510914909693,75.79956916,57.84486677,34384.0,47483.0,1321.76,0.16674021521436572,156.01395109550901
2013,Aleutians East Borough,Alaska,AK,1989,1436,42.7,3425,41.92700729927007,55.366507119927775,-161.98133032549518,83.72974942,34.70014597,487.0,63991.0,6981.94,0.1421897810218978,0.4905513367344893
2016,Aleutians West Census Area,Alaska,AK,3432,2318,37.6,5750,40.313043478260866,52.797996316266726,-106.60605997099529,83.72974942,34.70014597,438.0,78151.0,4390.28,0.07617391304347826,1.3097114534836047
2020,Anchorage Municipality,Alaska,AK,151144,144968,33.2,296112,48.957151348138545,61.150825295280754,-149.10911748236055,78.68170594,50.69724281,21108.0,83959.0,1704.68,0.0712838385475766,173.70532885937536
2050,Bethel Census Area,Alaska,AK,9381,8659,27.1,18040,47.99889135254989,60.91323080377408,-159.8180173514006,74.28750903,56.44922907,4502.0,46634.0,40570.0,0.24955654101995564,0.4446635444910032
2060,Bristol Bay Borough,Alaska,AK,526,364,41.8,890,40.89887640449438,58.74386360799613,-156.69997745651224,76.69861359999999,53.22591397,100.0,68026.0,503.84,0.11235955056179775,1.7664337885042871
2068,Denali Borough,Alaska,AK,1117,1115,43.1,2232,49.95519713261647,63.67164250515982,-150.01171591832534,74.49551009999999,52.94173837,121.0,72378.0,12751.41,0.05421146953405018,0.17503946622373526
2070,Dillingham Census Area,Alaska,AK,2573,2402,30.3,4975,48.28140703517587,59.79906654221384,-158.2350895429839,75.15414797,54.79024118,965.0,52250.0,18568.78,0.19396984924623115,0.267922825301393
2090,Fairbanks North Star Borough,Alaska,AK,53846,45807,31.1,99653,45.96650376807522,64.80776532872335,-146.56541139175178,79.35482515,49.34262972,8144.0,73427.0,7338.21,0.08172358082546437,13.580014744740202
2100,Haines Borough,Alaska,AK,1335,1183,44.9,2518,46.98173153296268,59.119879251212865,-135.49995278001106,79.64635815,45.58547916,257.0,53471.0,2318.6,0.10206513105639396,1.0860001725178987
2105,Hoonah-Angoon Census Area,Alaska,AK,1095,1037,50.2,2132,48.63977485928706,58.28835669160422,-135.64299333971147,79.89874213,44.37816137,397.0,53884.0,7524.92,0.18621013133208256,0.2833252712321194
2110,Juneau City and Borough,Alaska,AK,16517,15813,38.1,32330,48.91122796164553,58.454630545695714,-134.17394176905708,80.35319968,45.33240004,2334.0,82011.0,2701.93,0.07219300958861738,11.965520942437443
2122,Kenai Peninsula Borough,Alaska,AK,30314,27906,40.8,58220,47.93198213672279,60.26541331965089,-151.56524389617178,78.60870986,49.33087513,6835.0,68501.0,16075.33,0.11739951906561319,3.6216985903244288
2130,Ketchikan Gateway Borough,Alaska,AK,7060,6744,39.6,13804,48.855404230657776,55.58516170571989,-130.92880926517572,78.18707009999999,51.93058577,1245.0,67125.0,4858.41,0.09019124891335845,2.8412587657278823
2150,Kodiak Island Borough,Alaska,AK,7281,6368,33.5,13649,46.65543263242729,57.677042811019994,-153.7805822874154,79.58791343,45.18267505,991.0,74683.0,6549.58,0.07260605172540113,2.0839504212483853
2164,Lake and Peninsula Borough,Alaska,AK,710,665,33.5,1375,48.36363636363637,58.652919033967095,-156.18684615195298,75.15414797,54.79024118,325.0,44310.0,23652.01,0.23636363636363636,0.05813459405775662
